category,title,credits,prerequisites,description
BUSINESS ADMINISTRATION,BADM 365 Labor and Labor Law ,3 cr,Prerequisite: Completion of Tier II Human Heritage,"Provides an understanding of labor laws and their evolution, unions and their operations, and the nature of the union-management relationship. Utilizes case decisions to illustrate the collective bargaining process. Course attributes: SOCJ."
BUSINESS ADMINISTRATION,BADM 366 Team Facilitation ,3 cr,Prerequisite: Junior status,"Develops an understanding of the processes and techniques of team-building and the interpersonal skills needed to become an effective facilitator. Students will engage in self-analysis that identifies their personal skills/ abilities and their areas of strength/weakness. Students will be assisgned to teams and operate as both a member/ facilitator during the semester. They will learn how to deal with dysfunctional team members while developing interpersonal skills, enabling them to identify problems and work toward solutions. Course attributes: LDRS."
BUSINESS ADMINISTRATION,BADM 367 Small Business Entrepreneurship ,3 cr,Prerequisite: Junior status,"Introduces students to various types of small businesses through discussion, debate, and demonstrations. Provides them with knowledge and skills necessary to prepare a viable business plan. Students will be expected to develop and complete a business plan."
BUSINESS ADMINISTRATION,BADM 380 Strategic Marketing ,3 cr,Prerequisite: BADM 270,"Provides an understanding of how to manage the firm's marketing program. Marketing communications, strategy, product policy and overall marketing effectiveness are explored. Appropriate application of the marketing mix is covered through practical business applications."
BUSINESS ADMINISTRATION,BADM 381 Consumer Behavior ,3 cr,Prerequisite: BADM 270,"Provides an overview of the internal and external influences affecting the buying decision. Sociological, psychological, and economic factors are emphasized. Analyzes consumer and business decision-making."
BUSINESS ADMINISTRATION,BADM 382 Marketing Research ,3 cr,"Prerequisite: BADM 270, ECON 216",Examines the uses and limitations of marketing research information in strategic decision-making. Follows the marketing research process from problem definition through statistical analysis of data.
BUSINESS ADMINISTRATION,BADM 384 Marketing Communications ,3 cr,Prerequisite: BADM 270,"Approaches the subject from an integrated marketing communications perspective. Examines advertising, publicity, sales promotion, personal selling and the use of the Internet. Positioning, creativity, media planning and overall marketing effectiveness are determinants of success that will help students visualize, create and communicate a complete project. Course attributes: LDRS."
BUSINESS ADMINISTRATION,BADM 385 Global Marketing ,3 cr,Prerequisite: BADM 270,"Examines the management of global marketing operations, emphasizing decision-making and policy formulation. Analyzes the unique social, legal and political considerations associated with marketing in different cultures."
BUSINESS ADMINISTRATION,BADM 386 Sport Marketing ,3 cr,Prerequisite: BADM 270,"Examines the socio/cultural and economic impact that sport marketing has on society, including race and gender issues. Also examines various promotional activities in sport marketing - media relations, publicity and public relations; image advertising; and sponsorships. Examines principles of organizing and promoting sport events and activities."
BUSINESS ADMINISTRATION,BADM 387 Service and Event Marketing ,3 cr,Prerequisite: BADM 270,"Provides students with an in-depth analysis of the marketing functions in the service industries. Explores marketing of goods and services at the wholesale and retail level, direct sales marketing, marketing of business and personal services, marketing of cultural, tourist, sporting and business events, non-profit marketing, such as the arts and social services, and the role of marketing on the Internet."
BUSINESS ADMINISTRATION,BADM 390 Managing Workplace Diversity ,3 cr,Prerequisite: Junior status,"Examines the roles of women and minorities from the 1600s to the present day to gain an understanding of why and how those roles have evolved. Integrates the changes in social, political, and economic conditions and value systems as they affect the ability of women and minorities to effectively function in social and work environments. Course attributes: LDRS, SOCJ, WMST."
BUSINESS ADMINISTRATION,BADM 405 Contemporary Business and Organizational Issues ,3 cr,"Prerequisite: BADM 260, BADM 270","Provides an overview of current issues relating to management and marketing areas in a variety of organizational settings. Emphasizes operating, strategic, and ethical considerations in decision-making within today's dynamic environment. Course attributes: LDRS."
BUSINESS ADMINISTRATION,BADM 420 Business Resource Center ,3 cr,"Prerequisite: Junior status, 2.5 GPA",Offers students an opportunity to provide consulting services to area firms.
BUSINESS ADMINISTRATION,BADM 421 Advanced Financial Reporting ,3 cr,Prerequisite: BADM 322,"Explores the theoretical and practical issues involved in accounting for business combinations, multinational transactions, partnerships, governmental units and notfor-profit organizations. Students use computer software in the analysis/presentation of cases."
