description,title,prerequisites,schedule_type,levels,department
"Covers human physiology and anatomy, comparative physiology, the mechanism, types and prevention of diseases, and the environmental effects on human physiology. Will include laboratory projects and simulations.",BMED 3099 - PHYSIOLOGY FOR ENGINEERS II,BMED2099 - Physiology for Engineers I,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"This course covers the basic models of clinical engineering practices and the role of clinical engineers in health care delivery organizations such as hospitals and clinics. Topics include clinical engineering department operations, managing safety programs, technology assessment, medical equipment planning, acquisition, commissioning, and management, selection of equipment in the design of clinical facilities, safe, effective and ethical use of medical devices in compliance with applicable regulatory standards and a clinical engineering design project.",BMED 3100 - CLINCAL ENGINEERING PRACTICE,BMED2500 - Biomedical Electronics and Instrumentation. CorequisiteMATH2750 - Differential Equations and Systems Modeling,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"This course covers various types of medical devices and systems. The topics include biosensors, signal processing and analysis, cardiac diagnostic and theraputic devices involving electrophysiology and hemodynamics, respiratory, renal and neural devices and systems in clinical practice, life support and life saving devices, implants and artificial organs, imaging systems, anethesia machines, electrosurgical units, clinical laboratory equipment, Q.A., standards, regulatory affairs, FDA approval and medical device design.",BMED 3200 - MEDICAL DEVICES AND SYSTEMS,BMED2500 - Biomedical Electronics and Instrumentation. CorequisiteMATH2750 - Differential Equations and Systems Modeling,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,BMED 3800 - SPECIAL TOPICS BIOMEDICAL,,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Biomedical Engineering
"Covers biomedical modeling, design, applications: instrumentation, clinical experiments, biostatistics, ethics, biomechanics, biomaterials, bio-fluids, bioelectricity, bio-signal and image processing, physiological control systems. Will include laboratory projects and simulations.",BMED 4099 - BIOMEDICAL SYSTEMS ENGINEERING,Fifth-year status in BELM and BMED3099 - Physiology for Engineers II,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"This course covers the usage of biomaterials in biomedical engineering. Topics include the chemical structures, physical and mechanical properties of biomaterials, biomaterial degradation and processing, surface properties, protein and cell interactions with biomaterials, biomaterials implantation and acute inflammation, wound healing, immune response to biomaterials, biomaterials and thrombosis as well as infection, tumorigenesis and calcification of biomaterials. An overview of biomaterials applications and tissue engineering is provided and a biomaterials design project is required.",BMED 4200 - BIOMATERIALS/TISSUE ENG,"BIOL1100 - Cell andMolecular Biology and CHEM1100 - Engineering Chemistry I ,and MECH3599 - Engineering Mechanics",Lecture,Undergraduate,Biomedical Engineering
"This course covers bioengineering signals and systems, signal processing, Fourier and Laplace transforms, transfer function, frequency selective filters, real time processing, adaptive filters, time-frequency and time-scale analysis, linear system identification, optimization, fuzzy models, compartment models and control systems. Selected biomedical applications include pulse oximetry, defibrulator output, blood pressure monitoring and closed-loop drug infusion control.",BMED 4300 - SIGNALS AND SYSTEMS FOR BME,BMED2500 - Biomedical Electronics and Instrumentation and MATH2750 - Differential Equations and Systems Modeling,"Laboratory,",Undergraduate,Biomedical Engineering
"The overall objective of this course is to train students on problem-posing and problem-solving skills and illustrating how the fundamentals of mechanics are applied to biological problems. This course offers insight into the mechanics of hard tissue, musculoskeletal soft tissue, joint articulating surface motion, analysis of gait, mechanics of head and neck, biomechanics of chest and abdomen impact, cardiac biomechanics, heart and valve dynamics, molecular transport and regulation in microcirculation, modeling in cellular biomechanics and introduction to sports biomechanics.",BMED 4400 - BIOMECHANICS,MECH3599 - Engineering Mechanics and MATH2750 - Differential Equations and Systems Modeling,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"This course includes lectures by practicing professionals from medical devices research and development, manufacturing, hospitals, and regulatory agencies. It also includes presenatations on ongoing biomedical research projects on campus and student co-operative work experiences. The course will also address current trends and emerging challenges in the biomedical engineering field.",BMED 4500 - ENGINEERING IN BIOMEDICINE,senior status,Lecture,Undergraduate,Biomedical Engineering
"This course, intended primarily for biomedical engineering students, covers topics including descriptive statistics, probability, sampling, sampling distribution, estimation, linear regression, hypothesis testing, analysis of variance, Baye's theorem, probability distributions, multiple regressions, chi square distribution and other statistical methods to analyze biomedical data. Lab modules complement theoretical coverage and involve software applications and a group design project for medical applications.",BMED 4600 - BIOSTATISTICS,BIOL1100 - Cell and Molecular Biology and COMP1000 - Computer Science I and MATH2025 - Multivariable Calculus,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"This course provides an overview of the ethical and regulatory affairs applied to biomedical engineering. The course covers ethics and Biomedical engineering practice and research, theories and principles of ethics, the code of ethics, ethical considerations in areas including clinical engineering, human enhancement, and implants. This course also covers medical devices and FDA regulatory requirements including medical device design control, review, testing, pre- and post-marketing and compliance.",BMED 4700 - BIOMED ETHICS & REG AFFAIRS,BMED4500 - Engineering in Biomedicine.,Lecture,Undergraduate,Biomedical Engineering
"This course will expose the student to the fields of telemedicine and medical informatics. Topics include telemedicine technologies, telemedicine consultations, the importance of internet in telemedicine, mobile technology, healthcare data storage, healthcare data analytics, electronic health records and health information exchange, medical coding, health information privacy and security, and ethics in health informatics.",BMED 4800 - MED INFORMATICS & TELEMEDICINE,COMP1070 - Computer Science I and BMED2500 - Biomed Electronics & Instmnt.,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
